Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P55786;A6NEC2	P55786;A6NEC2	2;2	2;2	2;2	Puromycin-sensitive aminopeptidase;Puromycin-sensitive aminopeptidase-like protein	NPEPPS;NPEPPSL1	sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;sp|A6NEC2|PSAL_HUMAN Puromycin-sensitive aminopeptidase-like protein OS=Homo sapiens OX=9606 GN=NPEPPSL1 PE=2 SV=3	2	2	2	2	2.4	2.4	2.4	103.28	919	919;478	4			1	1	1		0	13.109	4140	4285	2959.5	4449.1	3760.8	3627.3	2741.9	1806.6	3463.9	1124.6	3418.1	4797.7	3293.9	4188.4	3076	2981.8	4140	4285	2959.5	4449.1	3760.8	3627.3	2741.9	1806.6	3463.9	1124.6	3418.1	4797.7	3293.9	4188.4	3076	2981.8	2	1	2	2	2	1	1	1	2	1	2	2	2	2	1	1	6237800	3				10	1680;5071	True;True	1691;5088	4350;13323;13324	4778;14732;14733	4778;14733			9606;9606
A6NGB9	A6NGB9	5	5	5	WAS/WASL-interacting protein family member 3	WIPF3	sp|A6NGB9|WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=4	1	5	5	5	12.8	12.8	12.8	49.457	483	483	2.22	1	5	3				0	35.321	44830	52670	49998	53511	53016	50677	34100	48373	36137	31365	7556.1	59380	51180	32455	39214	35665	44830	52670	49998	53511	53016	50677	34100	48373	36137	31365	7556.1	59380	51180	32455	39214	35665	8	10	10	10	10	7	8	9	10	7	4	10	10	9	8	9	61850000	10				11	260;3896;4156;4167;4465	True;True;True;True;True	260;3915;4175;4186;4483	660;10265;10266;10965;10992;10993;11748;11749;11750	710;11327;11328;12074;12103;12104;12919;12920;12921;12922	710;11327;12074;12104;12922			9606
A6NGN9	A6NGN9	1	1	1	IgLON family member 5	IGLON5	sp|A6NGN9|IGLO5_HUMAN IgLON family member 5 OS=Homo sapiens OX=9606 GN=IGLON5 PE=2 SV=4	1	1	1	1	3.3	3.3	3.3	36.794	336	336	2		1					0.0018519	7.5392	1318.8	3398.9	1664.5	0	2550.4	2890.8	882.88	1848.9	1214.6	2274.1	6094.3	2931.5	3133.9	3120.8	1278	2739	1318.8	3398.9	1664.5	0	2550.4	2890.8	882.88	1848.9	1214.6	2274.1	6094.3	2931.5	3133.9	3120.8	1278	2739	1	2	1	0	2	2	1	1	1	2	2	2	2	2	1	2	1626600	2				12	3081	True	3099	8154	8996;8997	8996			9606
A6NHL2	A6NHL2	1	1	1	Tubulin alpha chain-like 3	TUBAL3	sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2	1	1	1	1	3.8	3.8	3.8	49.908	446	446	3			1				0.0057851	6.4734	1468.3	1270.3	1070.3	1115.9	2050.4	0	0	0	0	1267.6	0	1126.3	1700.3	1627.4	2328.1	2030.8	1468.3	1270.3	1070.3	1115.9	2050.4	0	0	0	0	1267.6	0	1126.3	1700.3	1627.4	2328.1	2030.8	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	1				13	3985	True	4004	10491	11565	11565	6	161	9606
A6NIH7	A6NIH7	1	1	1	Protein unc-119 homolog B	UNC119B	sp|A6NIH7|U119B_HUMAN Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	1	1	1	1	6.8	6.8	6.8	28.136	251	251	1	1						0.0020263	11.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583270	1				14	2	True	2	4	5	5			9606
A6NKN8	A6NKN8	2	2	2	Purkinje cell protein 4-like protein 1	PCP4L1	sp|A6NKN8|PC4L1_HUMAN Purkinje cell protein 4-like protein 1 OS=Homo sapiens OX=9606 GN=PCP4L1 PE=3 SV=3	1	2	2	2	32.4	32.4	32.4	7.4762	68	68	2.67	1	1			1		0	23.532	4379.8	5899.1	7740.5	20731	6451.6	7696.6	6461	10679	8890.8	9894.8	12243	8137.5	14827	4452.3	6561	5133.2	4379.8	5899.1	7740.5	20731	6451.6	7696.6	6461	10679	8890.8	9894.8	12243	8137.5	14827	4452.3	6561	5133.2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	9311500	3				15	49;4573	True;True	48;4591	110;111;12069	122;123;13340	123;13340			9606
A7E2F4;A8MQT2	A7E2F4;A8MQT2	1;1	1;1	1;1	Golgin subfamily A member 8A;Golgin subfamily A member 8B	GOLGA8A;GOLGA8B	sp|A7E2F4|GOG8A_HUMAN Golgin subfamily A member 8A OS=Homo sapiens OX=9606 GN=GOLGA8A PE=2 SV=3;sp|A8MQT2|GOG8B_HUMAN Golgin subfamily A member 8B OS=Homo sapiens OX=9606 GN=GOLGA8B PE=2 SV=2	2	1	1	1	1.4	1.4	1.4	70.116	631	631;603	4				1			0.0057143	6.3763	2772.4	3235	1966.5	2446	1872.8	5081.6	2249	2932.8	0	2180.3	2820.7	6675.3	5412.8	3571.6	1946.8	2525	2772.4	3235	1966.5	2446	1872.8	5081.6	2249	2932.8	0	2180.3	2820.7	6675.3	5412.8	3571.6	1946.8	2525	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1				16	3411	True	3426	9021	9939	9939			9606;9606
A8MVW0	A8MVW0	2	2	2	Protein FAM171A2	FAM171A2	sp|A8MVW0|F1712_HUMAN Protein FAM171A2 OS=Homo sapiens OX=9606 GN=FAM171A2 PE=1 SV=1	1	2	2	2	3.8	3.8	3.8	87.434	826	826	6						2	0	12.817	14490	13043	17696	10548	14227	10696	9482.5	10005	11713	10541	15735	14573	10944	10241	8927.3	9784.5	14490	13043	17696	10548	14227	10696	9482.5	10005	11713	10541	15735	14573	10944	10241	8927.3	9784.5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	11894000	2				17	2824;3879	True;True	2841;3898	7475;10218	8237;11272	8237;11272			9606
P52815;B4DLN1	P52815;B4DLN1	1;1	1;1	1;1	39S ribosomal protein L12, mitochondrial	MRPL12	sp|P52815|RM12_HUMAN 39S ribosomal protein L12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2;tr|B4DLN1|B4DLN1_HUMAN cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 PE=2 SV=1	2	1	1	1	5.1	5.1	5.1	21.348	198	198;442	2		1					0.0018709	7.7392	2185.9	3627.4	2647.8	3115.1	2402.1	1555.5	2317.1	2499	3223.7	2068.7	2373.5	3764	2740.9	4063.7	3329.8	3614.6	2185.9	3627.4	2647.8	3115.1	2402.1	1555.5	2317.1	2499	3223.7	2068.7	2373.5	3764	2740.9	4063.7	3329.8	3614.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1892800	1				18	3282	True	3300	8671	9553	9553			9606;9606
P00751;B4E1Z4	P00751;B4E1Z4	2;2	2;2	2;2	Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	CFB	sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2;tr|B4E1Z4|B4E1Z4_HUMAN cDNA FLJ55673, highly similar to Complement factor B (EC 3.4.21.47) OS=Homo sapiens OX=9606 PE=1 SV=1	2	2	2	2	2.5	2.5	2.5	85.532	764	764;1266	5.5					1	1	0.0020408	11.122	4427.8	7740.9	3481.3	3134.5	5757.9	2219.6	4560.9	3686.4	5106.9	2938.3	2474.7	4609.7	6433	3782.6	6561.9	3591.4	4427.8	7740.9	3481.3	3134.5	5757.9	2219.6	4560.9	3686.4	5106.9	2938.3	2474.7	4609.7	6433	3782.6	6561.9	3591.4	2	2	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2717500	2				19	382;1288	True;True	383;1297	1028;3353	1112;3701	1112;3701			9606;9606
C9J069	C9J069	1	1	1	Uncharacterized protein C9orf172	C9orf172	sp|C9J069|AJM1_HUMAN Apical junction component 1 homolog OS=Homo sapiens OX=9606 GN=AJM1 PE=3 SV=1	1	1	1	1	1.7	1.7	1.7	106.65	976	976	1.5	1	1					0.0042017	6.6062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14734000	2				20	454	True	456	1225;1226	1327;1328	1328			9606
Q15811;CON__ENSEMBL:ENSBTAP00000001528	Q15811;CON__ENSEMBL:ENSBTAP00000001528	4;4	4;4	4;4	Intersectin-1	ITSN1	sp|Q15811|ITSN1_HUMAN Intersectin-1 OS=Homo sapiens OX=9606 GN=ITSN1 PE=1 SV=3;	2	4	4	4	1.9	1.9	1.9	195.42	1721	1721;1222	3.88		2	2	1	1	2	0	23.364	43672	42056	42166	45762	50513	28488	50107	38565	39312	38471	26422	28766	36041	33564	28165	35592	43672	42056	42166	45762	50513	28488	50107	38565	39312	38471	26422	28766	36041	33564	28165	35592	8	8	7	8	8	7	8	8	8	8	8	7	8	7	7	7	32725000	8			+	21	421;955;1587;2235	True;True;True;True	422;959;1598;2251	1146;2524;4141;4142;4143;4144;4145;5926	1244;2777;4549;4550;4551;4552;4553;6483	1244;2777;4551;6483			9606;-1
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	8	1	0				1	8	1	0	13	1.7	0	63.165	606	606	3.5			1	1			0.002006	10.708	2926.7	1737.9	9637.3	0	12235	16713	0	1773.2	1886.8	1071.4	28073	4491	1286.4	0	0	0	2926.7	1737.9	9637.3	0	12235	16713	0	1773.2	1886.8	1071.4	28073	4491	1286.4	0	0	0	1	1	2	0	2	2	0	1	1	1	2	2	1	0	0	0	6488700	2			+	22	143;529;1093;1854;2819;4096;4485;5089	True;False;False;False;False;False;False;False	143;531;1098;1869;2836;4115;4503;5106	377;378;1412;1413;1414;1415;2911;2912;2913;2914;2915;2916;2917;2918;4774;4775;4776;4777;4778;4779;4780;4781;4782;4783;4784;7463;10806;10807;10808;10809;10810;10811;10812;10813;10814;10815;11819;11820;11821;11822;11823;11824;13382;13383;13384;13385;13386;13387;13388;13389;13390;13391;13392	401;402;1524;1525;1526;1527;3225;3226;3227;3228;3229;3230;3231;3232;5228;5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;8224;11906;11907;11908;11909;11910;11911;11912;11913;11914;11915;13003;13004;13005;13006;13007;13008;13009;14792;14793;14794;14795;14796;14797;14798;14799;14800;14801;14802;14803	402;1525;3226;5230;8224;11911;13004;14796	7	465	-1
O95678;CON__O95678	O95678;CON__O95678	8;8	1;1	1;1	Keratin, type II cytoskeletal 75	KRT75	sp|O95678|K2C75_HUMAN Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2;	2	8	1	1	13.4	2	2	59.56	551	551;551	2		1					0.005719	6.3768	0	0	8841	0	0	0	0	0	0	0	0	0	3906.3	0	0	0	0	0	8841	0	0	0	0	0	0	0	0	0	3906.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2972300	1			+	23	147;1033;1802;1852;2819;3451;4345;5089	False;False;False;False;False;False;True;False	147;1037;1816;1867;2836;3466;4363;5106	388;389;2765;2766;2767;2768;4640;4641;4758;4759;4760;4761;7463;9101;9102;9103;9104;9105;11446;13382;13383;13384;13385;13386;13387;13388;13389;13390;13391;13392	413;414;3070;3071;3072;3073;5084;5085;5211;5212;5213;5214;8224;10027;10028;10029;10030;10031;10032;10033;12597;14792;14793;14794;14795;14796;14797;14798;14799;14800;14801;14802;14803	413;3071;5085;5212;8224;10028;12597;14796	8	265	9606;-1
CON__P00761	CON__P00761	3	3	3				1	3	3	3	16.5	16.5	16.5	24.409	231	231	3.12	3	4	3	2	2	2	0	27.25	10585000	10985000	9249200	11300000	5746500	20028000	12831000	6972800	6847900	12778000	17671000	10273000	7588600	8515800	5370000	7125000	10585000	10985000	9249200	11300000	5746500	20028000	12831000	6972800	6847900	12778000	17671000	10273000	7588600	8515800	5370000	7125000	35	35	34	37	29	35	34	30	31	35	37	33	31	33	27	32	102080000000	38			+	24	2961;3240;4686	True;True;True	2978;3258;4703	7878;7879;7880;7881;8564;8565;8566;12364;12365;12366;12367;12368;12369;12370;12371;12372	8696;8697;8698;8699;8700;8701;9433;9434;9435;9436;9437;9438;13668;13669;13670;13671;13672;13673;13674;13675;13676;13677;13678;13679;13680;13681;13682;13683;13684;13685;13686;13687;13688;13689;13690;13691;13692;13693	8700;9436;13675			-1
CON__P01966	CON__P01966	2	1	1				1	2	1	1	11.3	4.9	4.9	15.184	142	142	1	1						1	-2	4798.3	5858.9	5399.9	6760.4	7182.4	5372.1	4652.2	5564.2	5090.2	4823.3	2125.5	6356.2	5128.9	4906.8	2310.5	4445.8	4798.3	5858.9	5399.9	6760.4	7182.4	5372.1	4652.2	5564.2	5090.2	4823.3	2125.5	6356.2	5128.9	4906.8	2310.5	4445.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7517200	1	+		+	25	3361;4649	False;True	3377;4666	8924;12294	9840;13596	9840;13596	9	33	-1
