Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
A6NDG6	A6NDG6	1	1	1	Phosphoglycolate phosphatase	PGP	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	1	1	1	4	4	4	34.006	321	321	2.5		1	1				0.0014255	2.9066	18494	26395	16404	14685	14277	10131	9872.7	15351	9070.4	9381.1	9611.5	25277	13498	16323	18494	26395	16404	14685	14277	10131	9872.7	15351	9070.4	9381.1	9611.5	25277	13498	16323	2	2	2	2	2	2	2	2	2	2	2	2	2	2	35693000	2				10	2685	True	2745	6927;6928	7466;7467	7467			9606
A6NGB9	A6NGB9	6	6	6	WAS/WASL-interacting protein family member 3	WIPF3	sp|A6NGB9|WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=4	1	6	6	6	14.9	14.9	14.9	49.457	483	483	1.44	6	2	1				0	22.245	77103	71235	80466	94268	87440	71568	59113	93480	80583	80303	98389	83471	143150	105230	77103	71235	80466	94268	87440	71568	59113	93480	80583	80303	98389	83471	143150	105230	11	11	11	11	11	11	11	11	11	11	11	11	11	11	151900000	11				11	315;4082;5266;5625;5637;6007	True;True;True;True;True;True	316;4166;5373;5729;5741;6109	808;10558;13441;13442;13443;14334;14360;14361;15292	871;11439;11440;14573;14574;14575;15523;15550;15551;16552;16553	871;11440;14573;15523;15550;16552			9606
A6NGN9	A6NGN9	3	3	3	IgLON family member 5	IGLON5	sp|A6NGN9|IGLO5_HUMAN IgLON family member 5 OS=Homo sapiens OX=9606 GN=IGLON5 PE=2 SV=4	1	3	3	3	9.2	9.2	9.2	36.794	336	336	4.5	1			2		3	0	11.717	1640.8	3198.8	1895.4	2592.9	2350.9	3149.4	1210.1	3287	2227	1248	3715.3	3265.7	4096.9	1331.5	1640.8	3198.8	1895.4	2592.9	2350.9	3149.4	1210.1	3287	2227	1248	3715.3	3265.7	4096.9	1331.5	2	2	1	2	2	2	1	2	2	1	3	2	3	1	6107200	6				12	1007;4053;4868	True;True;True	1013;4136;4965	2563;2564;2565;2566;10444;12500	2748;2749;2750;2751;11312;13549	2750;11312;13549			9606
P61224;A6NIZ1	P61224;A6NIZ1	2;2	1;1	1;1	Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein	RAP1B	sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;sp|A6NIZ1|RP1BL_HUMAN Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	2	2	1	1	11.4	7.1	7.1	20.825	184	184;184	3.33			2	1			0	10.258	9206.9	9717.2	9263.3	3760.6	7785.5	4995.7	16600	7453	2371.7	2957	2099.1	7953.9	4246	7848.4	9206.9	9717.2	9263.3	3760.6	7785.5	4995.7	16600	7453	2371.7	2957	2099.1	7953.9	4246	7848.4	3	3	3	2	3	3	3	3	2	2	2	3	3	3	1481900	3				13	1277;2047	True;False	1294;2091	3237;3238;3239;5328	3482;3483;3484;5766	3483;5766	1	111	9606;9606
A6NKN8	A6NKN8	4	4	4	Purkinje cell protein 4-like protein 1	PCP4L1	sp|A6NKN8|PC4L1_HUMAN Purkinje cell protein 4-like protein 1 OS=Homo sapiens OX=9606 GN=PCP4L1 PE=3 SV=3	1	4	4	4	60.3	60.3	60.3	7.4762	68	68	4.67	1			1	1	3	0	172.68	25647	29210	34867	59867	43021	30599	17891	41599	37419	42989	46939	29784	51167	31710	25647	29210	34867	59867	43021	30599	17891	41599	37419	42989	46939	29784	51167	31710	7	7	7	7	7	6	7	7	7	7	7	6	7	6	99561000	7				14	58;207;3586;6159	True;True;True;True	58;206;3657;6264	136;533;9299;15708;15709;15710	144;579;10074;10075;17032;17033;17034	144;579;10074;17033			9606
J3KTA2;A8MSI8	J3KTA2;A8MSI8	1;1	1;1	1;1	LYR motif-containing protein 9	LYRM9	tr|J3KTA2|J3KTA2_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1;sp|A8MSI8|LYRM9_HUMAN LYR motif-containing protein 9 OS=Homo sapiens OX=9606 GN=LYRM9 PE=3 SV=2	2	1	1	1	6.9	6.9	6.9	17.69	159	159;78	4				1			0	3.6255	6680.9	5226.1	1465.5	3303.8	4123.4	0	9198.2	5600.5	1760.8	2252.9	2656.5	8865.2	1788.9	9574.8	6680.9	5226.1	1465.5	3303.8	4123.4	0	9198.2	5600.5	1760.8	2252.9	2656.5	8865.2	1788.9	9574.8	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1851100	1				15	381	True	381	972	1045	1045	2	71	9606;9606
A8MVW0	A8MVW0	1	1	1	Protein FAM171A2	FAM171A2	sp|A8MVW0|F1712_HUMAN Protein FAM171A2 OS=Homo sapiens OX=9606 GN=FAM171A2 PE=1 SV=1	1	1	1	1	1.8	1.8	1.8	87.434	826	826	5.5					1	1	0	3.3564	0	1005.7	815.32	4292.3	0	1750.3	1870.1	2000.8	1303.2	2163.7	1902.6	3777.4	1532.7	3697.4	0	1005.7	815.32	4292.3	0	1750.3	1870.1	2000.8	1303.2	2163.7	1902.6	3777.4	1532.7	3697.4	0	1	1	2	0	1	1	1	1	1	1	2	1	1	5417100	2				16	3749	True	3824	9682;9683	10489;10490	10489			9606
P00751;B4E1Z4	P00751;B4E1Z4	1;1	1;1	1;1	Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	CFB	sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2;tr|B4E1Z4|B4E1Z4_HUMAN cDNA FLJ55673, highly similar to Complement factor B (EC 3.4.21.47) OS=Homo sapiens OX=9606 PE=1 SV=1	2	1	1	1	1.2	1.2	1.2	85.532	764	764;1266	1	1						0	13.924	3527.6	4018.4	2826.2	3096.5	1768	806.1	2989.4	1810.4	8246.5	1953	3958.2	5132.5	8246.3	4637.6	3527.6	4018.4	2826.2	3096.5	1768	806.1	2989.4	1810.4	8246.5	1953	3958.2	5132.5	8246.3	4637.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1				17	5761	True	5862	14654	15864	15864			9606;9606
Q99613;B5ME19	Q99613;B5ME19	2;2	2;2	2;2	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=3 SV=1	2	2	2	2	2.4	2.4	2.4	105.34	913	913;914	4		1				1	0	6.694	869.82	1060.7	971.29	1677.2	1241.7	754.38	1409.1	1024.4	1034.8	0	2463.4	1894.2	986.85	1525.2	869.82	1060.7	971.29	1677.2	1241.7	754.38	1409.1	1024.4	1034.8	0	2463.4	1894.2	986.85	1525.2	1	1	1	1	1	1	1	1	1	0	1	2	1	1	2444200	2				18	2362;4902	True;True	2415;5001	6083;12576	6577;13627	6577;13627			9606;9606
C9JLW8	C9JLW8	2	2	2	Protein FAM195B	FAM195B	sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	1	2	2	2	27.8	27.8	27.8	10.92	97	97	4.75				2	1	1	0	8.0966	11953	8029.3	15070	13662	9231.7	9626.2	13562	18396	9860.2	10794	15094	6971	9555	17159	11953	8029.3	15070	13662	9231.7	9626.2	13562	18396	9860.2	10794	15094	6971	9555	17159	4	4	4	4	4	4	4	4	4	4	4	4	4	4	22023000	4				19	2879;5617	True;True	2943;5721	7456;7457;14321;14322	8034;8035;15510;15511	8035;15511			9606
Q15811;CON__ENSEMBL:ENSBTAP00000001528	Q15811;CON__ENSEMBL:ENSBTAP00000001528	2;2	2;2	2;2	Intersectin-1	ITSN1	sp|Q15811|ITSN1_HUMAN Intersectin-1 OS=Homo sapiens OX=9606 GN=ITSN1 PE=1 SV=3;	2	2	2	2	1	1	1	195.42	1721	1721;1222	4.25		1		1	1	1	0	4.6246	13343	14282	8575.4	17239	12891	13663	19266	14674	16567	8325.3	18621	16812	9972.6	14478	13343	14282	8575.4	17239	12891	13663	19266	14674	16567	8325.3	18621	16812	9972.6	14478	4	4	4	4	4	4	4	4	4	3	4	4	4	4	10376000	4			+	20	1203;2037	True;True	1217;2080	3042;3043;3044;5303	3267;3268;3269;5740	3268;5740			9606;-1
P0C0L5;P0C0L4;CON__ENSEMBL:ENSBTAP00000007350	P0C0L5;P0C0L4;CON__ENSEMBL:ENSBTAP00000007350	1;1;1	1;1;1	1;1;1	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain;Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain	C4B;C4A	sp|P0C0L5|CO4B_HUMAN Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2;sp|P0C0L4|CO4A_HUMAN Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2;	3	1	1	1	0.8	0.8	0.8	192.75	1744	1744;1744;1742	2		1					0.0066445	2.4237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525350	1			+	21	2008	True	2051	5226	5651	5651			9606;9606;-1
O43790;Q14533;CON__O43790;CON__Q14533	O43790;Q14533;CON__O43790;CON__Q14533	3;3;3;3	1;1;1;1	1;1;1;1	Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb1	KRT86;KRT81	sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1;sp|Q14533|KRT81_HUMAN Keratin, type II cuticular Hb1 OS=Homo sapiens OX=9606 GN=KRT81 PE=1 SV=3;;	4	3	1	1	3.5	1.6	1.6	53.5	486	486;505;486;505	2		1					0.0092531	2.3822	17054	10831	8424.8	10837	9723.2	7906.2	2634.7	8230.8	4859.2	7036	5016.8	8774.5	6690.3	6429	17054	10831	8424.8	10837	9723.2	7906.2	2634.7	8230.8	4859.2	7036	5016.8	8774.5	6690.3	6429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29462000	1			+	22	2407;6616;6826	False;False;True	2460;6730;6941	6193;6194;6195;6196;16877;17378	6691;6692;6693;6694;18316;18852	6691;18316;18852			9606;9606;-1;-1
CON__P00711	CON__P00711	1	1	1				1	1	1	1	11.4	11.4	11.4	14.186	123	123	6						1	0	12.35	0	0	0	0	0	8857	1856.7	0	0	0	0	0	0	0	0	0	0	0	0	8857	1856.7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1057100	1			+	23	2404	True	2457	6186	6684	6684	3	90	-1
CON__P00761	CON__P00761	4	4	4				1	4	4	4	25.1	25.1	25.1	24.409	231	231	3.34	7	5	5	5	5	5	0	133.45	39901000	42646000	35228000	29953000	33924000	25338000	48487000	24136000	15348000	52103000	33868000	54383000	42967000	77873000	39901000	42646000	35228000	29953000	33924000	25338000	48487000	24136000	15348000	52103000	33868000	54383000	42967000	77873000	65	67	62	61	62	61	64	59	53	66	66	67	64	67	203830000000	71			+	24	3400;3909;4230;6273	True;True;True;True	3470;3991;4314;6382	8836;8837;8838;8839;8840;10111;10112;10113;10114;10115;10116;10895;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;16014;16015;16016;16017;16018;16019;16020;16021	9570;9571;9572;9573;9574;9575;10948;10949;10950;10951;10952;10953;11796;11797;11798;11799;11800;11801;11802;11803;11804;11805;11806;11807;11808;11809;11810;11811;11812;11813;11814;11815;11816;11817;11818;17368;17369;17370;17371;17372;17373;17374;17375;17376;17377;17378;17379;17380;17381;17382;17383;17384;17385;17386;17387;17388;17389;17390;17391;17392;17393;17394;17395;17396;17397;17398;17399;17400;17401;17402;17403	9573;10949;11812;17397	4	94	-1
P02533;CON__P02533;CON__P19001;CON__Q61782	P02533;CON__P02533	29;29;6;3	29;29;6;3	4;4;0;1	Keratin, type I cytoskeletal 14	KRT14	sp|P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4;	4	29	29	4	57.2	57.2	12.7	51.561	472	472;472;403;93	3.39	11	25	24	22	16	12	0	323.31	489980	885800	2543900	834360	2324900	1353700	1487000	899030	477870	1361600	902630	4123900	2820700	2660700	489980	885800	2543900	834360	2324900	1353700	1487000	899030	477870	1361600	902630	4123900	2820700	2660700	83	97	99	91	102	96	95	93	66	98	94	105	103	108	7570200000	116			+	25	148;444;574;680;888;1352;1378;1631;2235;2973;2988;3515;3594;3711;3765;3861;4018;4460;4528;4765;5216;5357;5358;6081;6146;6476;6613;6668;6842	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	150;445;577;681;891;1371;1401;1664;2285;3038;3053;3585;3665;3786;3841;3941;4101;4547;4618;4860;5323;5465;5466;6185;6251;6589;6727;6782;6783;6957	390;391;392;393;394;1129;1130;1131;1132;1133;1134;1135;1435;1436;1437;1438;1439;1440;1736;1737;1738;1739;2246;2247;3485;3486;3487;3575;3576;4212;4213;4214;4215;5779;5780;5781;5782;5783;5784;7705;7706;7707;7708;7709;7710;7739;7740;7741;7742;9123;9124;9318;9583;9584;9585;9721;9722;9723;9724;9725;9726;9727;9728;9729;9989;9990;9991;10374;10375;11451;11452;11591;11592;11593;11594;12209;12210;12211;13326;13327;13328;13665;13666;13667;13668;13669;13670;13671;13672;15486;15487;15488;15671;15672;15673;16508;16509;16510;16511;16512;16513;16514;16871;16991;16992;16993;16994;16995;17432;17433	421;422;423;424;425;1212;1213;1214;1215;1216;1217;1218;1536;1537;1538;1539;1540;1541;1875;1876;1877;1878;2406;2407;3762;3763;3764;3857;3858;4540;4541;4542;4543;6255;6256;6257;6258;6259;6260;6261;8312;8313;8314;8315;8316;8317;8348;8349;8350;8351;9892;9893;10095;10382;10383;10384;10528;10529;10530;10531;10532;10533;10534;10535;10536;10537;10814;10815;10816;10817;11238;11239;12411;12412;12556;12557;12558;12559;13227;13228;13229;13230;14455;14456;14457;14807;14808;14809;14810;14811;14812;14813;14814;16765;16766;16767;16994;16995;16996;17920;17921;17922;17923;17924;17925;17926;18310;18437;18438;18439;18440;18441;18442;18443;18913;18914	425;1216;1540;1875;2406;3763;3858;4543;6257;8312;8351;9893;10095;10382;10534;10814;11239;12411;12558;13230;14457;14809;14814;16766;16995;17920;18310;18437;18913	5;6;7;8;9;10;11;12	14;119;212;237;257;272;338;351	9606;-1;-1;-1
