Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	3;3	3;3	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	2	3	3	1	22.4	22.4	11.2	14.688	125	125;125	2.88	3	1	1	1	1	1	0	25.694	123350	152200	142840	114650	103740	127920	75294	116790	114150	156330	147690	148920	86857	117070	181280	89086	123350	152200	142840	114650	103740	127920	75294	116790	114150	156330	147690	148920	86857	117070	181280	89086	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	116570000	8				10	2527;3585;5030	True;True;True	2584;3662;5144	6344;6345;6346;6347;6348;6349;9171;12684	6868;6869;6870;6871;6872;6873;9931;13737	6868;9931;13737	7	60	9606;9606
A6NDG6	A6NDG6	1	1	1	Phosphoglycolate phosphatase	PGP	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	1	1	1	4	4	4	34.006	321	321	2	1	1	1				0.0046144	6.5156	10600	20093	12707	13309	10907	12842	9355.2	11196	9804.4	18372	16950	15376	7945.8	8691.9	15307	6962.2	10600	20093	12707	13309	10907	12842	9355.2	11196	9804.4	18372	16950	15376	7945.8	8691.9	15307	6962.2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	19730000	3				11	2781	True	2844	6991;6992;6993	7558;7559;7560	7559			9606
P55786;A6NEC2	P55786;A6NEC2	2;2	2;2	2;2	Puromycin-sensitive aminopeptidase;Puromycin-sensitive aminopeptidase-like protein	NPEPPS;NPEPPSL1	sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;sp|A6NEC2|PSAL_HUMAN Puromycin-sensitive aminopeptidase-like protein OS=Homo sapiens OX=9606 GN=NPEPPSL1 PE=2 SV=3	2	2	2	2	2.5	2.5	2.5	103.28	919	919;478	3			2				0	12.632	3534.7	6244.3	3473.1	2409.7	3736.5	4417.9	1128.1	2529.7	3711.4	3993.6	2854	3531.4	2977.2	3416.4	6915	3090.2	3534.7	6244.3	3473.1	2409.7	3736.5	4417.9	1128.1	2529.7	3711.4	3993.6	2854	3531.4	2977.2	3416.4	6915	3090.2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	14634000	2				12	3417;7116	True;True	3493;7251	8745;17695	9467;19176	9467;19176			9606;9606
A6NGB9	A6NGB9	4	4	4	WAS/WASL-interacting protein family member 3	WIPF3	sp|A6NGB9|WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=4	1	4	4	4	11	11	11	49.457	483	483	2	5	1		1	1		0	34.494	54777	26440	51077	51032	64775	75661	37705	67856	51475	85220	77554	40044	88087	63941	65314	59470	54777	26440	51077	51032	64775	75661	37705	67856	51475	85220	77554	40044	88087	63941	65314	59470	8	7	8	8	8	8	8	8	8	8	7	7	8	8	8	8	90796000	8				13	341;4235;5529;6333	True;True;True;True	340;4328;5654;6459	872;10728;13814;13815;13816;13817;15752;15753	950;11624;14972;14973;14974;14975;17061;17062	950;11624;14974;17062			9606
A6NGN9	A6NGN9	2	2	2	IgLON family member 5	IGLON5	sp|A6NGN9|IGLO5_HUMAN IgLON family member 5 OS=Homo sapiens OX=9606 GN=IGLON5 PE=2 SV=4	1	2	2	2	8.3	8.3	8.3	36.794	336	336	3.8	1			2	2		0	11.823	3810.4	5574	2254.1	879.97	764.04	3808	2103	1052.8	5800	0	3342.8	3219.3	1304.9	2315.1	6603.2	973.3	3810.4	5574	2254.1	879.97	764.04	3808	2103	1052.8	5800	0	3342.8	3219.3	1304.9	2315.1	6603.2	973.3	2	2	2	1	1	3	1	1	1	0	3	2	1	2	2	1	2480500	5				14	1028;4205	True;True	1034;4296	2576;2577;2578;2579;10613	2806;2807;2808;2809;11503	2808;11503			9606
A6NHQ2	A6NHQ2	2	2	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2	1	2	2	1	5.7	5.7	3.6	34.803	334	334	3			1				0.00076394	10.72	5585.8	1881.1	5094.7	5678.7	4562.7	7262.4	3118.1	7276.2	5858.8	5251.2	6063.5	2747	4460.3	5309.4	1389.2	3113.3	5585.8	1881.1	5094.7	5678.7	4562.7	7262.4	3118.1	7276.2	5858.8	5251.2	6063.5	2747	4460.3	5309.4	1389.2	3113.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6591900	1				15	2853;3830	True;True	2917	7203	7780	7780			9606
P61224;A6NIZ1	P61224;A6NIZ1	2;2	2;2	1;1	Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein	RAP1B	sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;sp|A6NIZ1|RP1BL_HUMAN Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	2	2	2	1	11.4	11.4	7.1	20.825	184	184;184	2.5		1	1				0	15.004	14739	13544	20970	13718	16245	23751	12684	16382	15035	15667	11211	9749.5	13939	14238	15214	13401	14739	13544	20970	13718	16245	23751	12684	16382	15035	15667	11211	9749.5	13939	14238	15214	13401	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	21629000	2				16	1329;2150	True;True	1344;2196	3260;5438	3567;5910	3567;5910	8	111	9606;9606
A6NKN8	A6NKN8	4	4	4	Purkinje cell protein 4-like protein 1	PCP4L1	sp|A6NKN8|PC4L1_HUMAN Purkinje cell protein 4-like protein 1 OS=Homo sapiens OX=9606 GN=PCP4L1 PE=3 SV=3	1	4	4	4	60.3	60.3	60.3	7.4762	68	68	4.22	1	1	1	1	2	3	0	185.37	51216	23096	63956	79698	34068	52706	30961	59430	54384	138080	40210	51102	46068	56008	36585	91476	51216	23096	63956	79698	34068	52706	30961	59430	54384	138080	40210	51102	46068	56008	36585	91476	11	8	10	11	9	10	8	10	11	11	10	9	8	10	8	11	118230000	12				17	68;222;3714;6482	True;True;True;True	68;223;3793;6608	162;575;9473;9474;16141;16142;16143;16144;16145	186;632;10263;10264;10265;10266;10267;17503;17504;17505;17506;17507	186;632;10264;17507			9606
J3KTA2;A8MSI8	J3KTA2;A8MSI8	2;2	2;2	2;2	LYR motif-containing protein 9	LYRM9	tr|J3KTA2|J3KTA2_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1;sp|A8MSI8|LYRM9_HUMAN LYR motif-containing protein 9 OS=Homo sapiens OX=9606 GN=LYRM9 PE=3 SV=2	2	2	2	2	13.2	13.2	13.2	17.69	159	159;78	4.67			1		1	1	0	12.668	8386.1	9749	12022	6886.2	8002.1	8192.3	5734.2	6926.1	10745	35850	18333	10048	8580.8	5660.4	23710	5223.4	8386.1	9749	12022	6886.2	8002.1	8192.3	5734.2	6926.1	10745	35850	18333	10048	8580.8	5660.4	23710	5223.4	2	2	3	2	2	3	3	2	2	3	3	3	2	2	3	3	18657000	3				18	411;6778	True;True	409;6910	1060;16878;16879	1150;18300;18301	1150;18301	9	71	9606;9606
A8MVW0	A8MVW0	3	3	3	Protein FAM171A2	FAM171A2	sp|A8MVW0|F1712_HUMAN Protein FAM171A2 OS=Homo sapiens OX=9606 GN=FAM171A2 PE=1 SV=1	1	3	3	3	6.1	6.1	6.1	87.434	826	826	4.4	1			1	1	2	0	72.746	8066.9	6067.1	6758.2	8853.1	9950.1	12459	7468.7	8476	7494.9	13598	7226.4	11086	6242.3	6441	5202.3	7535.5	8066.9	6067.1	6758.2	8853.1	9950.1	12459	7468.7	8476	7494.9	13598	7226.4	11086	6242.3	6441	5202.3	7535.5	4	4	4	4	3	4	4	3	4	5	4	5	3	4	3	5	30295000	5				19	593;1298;3896	True;True;True	596;1313;3979	1480;3184;9878;9879;9880	1601;3485;10715;10716;10717	1601;3485;10717			9606
Q8IXS6;B1ALY0	Q8IXS6;B1ALY0	2;2	1;1	1;1	Paralemmin-2	PALM2;PALM2-AKAP2	sp|Q8IXS6|PALM2_HUMAN Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE=1 SV=3;tr|B1ALY0|B1ALY0_HUMAN PALM2-AKAP2 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=PALM2-AKAP2 PE=1 SV=1	2	2	1	1	5	3.2	3.2	42.185	379	379;433	6						1	0.0014652	8.5047	0	0	0	970.86	0	0	0	1431.1	0	0	0	0	1582	970.18	953.9	1980.2	0	0	0	970.86	0	0	0	1431.1	0	0	0	0	1582	970.18	953.9	1980.2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	555700	1				20	271;4266	True;False	271;4359	728;10795;10796;10797;10798	790;11695;11696;11697;11698	790;11695			9606;9606
P52815;B4DLN1	P52815;B4DLN1	1;1	1;1	1;1	39S ribosomal protein L12, mitochondrial	MRPL12	sp|P52815|RM12_HUMAN 39S ribosomal protein L12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2;tr|B4DLN1|B4DLN1_HUMAN cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 PE=2 SV=1	2	1	1	1	5.1	5.1	5.1	21.348	198	198;442	1.5	1	1					0.0045992	6.4993	3139.4	3969.6	2867.3	3727.3	1633.4	2719.2	3866.8	2584.3	4446	6379.9	1083.6	5596.4	3785.6	3235.3	3539.9	1601.5	3139.4	3969.6	2867.3	3727.3	1633.4	2719.2	3866.8	2584.3	4446	6379.9	1083.6	5596.4	3785.6	3235.3	3539.9	1601.5	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2615100	2				21	4427	True	4521	11163;11164	12091;12092	12092			9606;9606
P00751;B4E1Z4	P00751;B4E1Z4	1;1	1;1	1;1	Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	CFB	sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2;tr|B4E1Z4|B4E1Z4_HUMAN cDNA FLJ55673, highly similar to Complement factor B (EC 3.4.21.47) OS=Homo sapiens OX=9606 PE=1 SV=1	2	1	1	1	1.2	1.2	1.2	85.532	764	764;1266	1	1						0.0014035	7.167	1708.9	886.38	2191.9	2136	1068.3	0	1084.4	0	2176	0	1108	1572.5	1123.9	0	753.85	0	1708.9	886.38	2191.9	2136	1068.3	0	1084.4	0	2176	0	1108	1572.5	1123.9	0	753.85	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1760100	1				22	6059	True	6182	15083	16334	16334			9606;9606
B9A064;P0CG04	B9A064;P0CG04	2;2	1;1	1;1	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	IGLL5;IGLC1	sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2;sp|P0CG04|IGLC1_HUMAN Immunoglobulin lambda constant 1 OS=Homo sapiens OX=9606 GN=IGLC1 PE=1 SV=1	2	2	1	1	15.9	8.9	8.9	23.063	214	214;106	2		1					0.0057766	6.3651	1851.1	1573.2	1980.9	1674.2	0	0	1783.3	0	903.75	1025.2	949.48	1088	0	0	0	0	1851.1	1573.2	1980.9	1674.2	0	0	1783.3	0	903.75	1025.2	949.48	1088	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	250240	1				23	566;6153	True;False	567;6276	1419;15309	1533;16581	1533;16581			9606;9606
Q9NQA3;C4AMC7;Q6VEQ5	Q9NQA3;C4AMC7;Q6VEQ5	1;1;1	1;1;1	1;1;1	WAS protein family homolog 6;Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH6P;WASH3P;WASH2P	sp|Q9NQA3|WASH6_HUMAN WAS protein family homolog 6 OS=Homo sapiens OX=9606 GN=WASH6P PE=1 SV=3;sp|C4AMC7|WASH3_HUMAN Putative WAS protein family homolog 3 OS=Homo sapiens OX=9606 GN=WASH3P PE=1 SV=2;sp|Q6VEQ5|WASH2_HUMAN WAS protein family homolog 2 OS=Hom	3	1	1	1	3.1	3.1	3.1	47.989	447	447;463;465	2		1					0.0057325	6.3456	2033.5	2872.1	2311.4	2266.4	1437.9	2081.1	1382.1	2406.3	2755.9	4531.6	2053.6	3342.1	3776.8	1474.4	2451.8	2028.1	2033.5	2872.1	2311.4	2266.4	1437.9	2081.1	1382.1	2406.3	2755.9	4531.6	2053.6	3342.1	3776.8	1474.4	2451.8	2028.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7045200	1				24	3035	True	3104	7710	8331	8331			9606;9606;9606
C9J069	C9J069	1	1	1	Uncharacterized protein C9orf172	C9orf172	sp|C9J069|AJM1_HUMAN Apical junction component 1 homolog OS=Homo sapiens OX=9606 GN=AJM1 PE=3 SV=1	1	1	1	1	1.4	1.4	1.4	106.65	976	976	2		1					0.0014663	8.5313	0	0	0	886.66	0	0	0	0	0	0	0	0	1232.9	0	0	0	0	0	0	886.66	0	0	0	0	0	0	0	0	1232.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	221040	1				25	7114	True	7249	17693	19174	19174			9606
C9JLW8	C9JLW8	2	2	2	Protein FAM195B	FAM195B	sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	1	2	2	2	27.8	27.8	27.8	10.92	97	97	4			2	2		1	0	16.756	52166	19870	66327	47704	41365	36784	26392	52787	41648	96439	36488	38520	109080	48396	49432	85518	52166	19870	66327	47704	41365	36784	26392	52787	41648	96439	36488	38520	109080	48396	49432	85518	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	95646000	5				26	3000;5904	True;True	3067;6029	7602;7603;7604;14710;14711	8214;8215;8216;15930;15931	8216;15930			9606
